Event ID,Event Name,Event Description,Event Class,Event Information Source,Reference URL,Effective From Date,Effective To Date,From Time,To Time
384,Giants Home Game,Baseball game,PkDemandUp,Internet,http://sanfrancisco.giants.mlb.com/schedule/,9/28/2013,9/28/2013,1:00 PM,5:30 PM
440,Giants Home Game,Baseball game,PkDemandUp,Internet,http://sanfrancisco.giants.mlb.com/schedule/,9/27/2013,9/27/2013,7:00 PM,11:30 PM
439,Giants Home Game,Baseball game,PkDemandUp,Internet,http://sanfrancisco.giants.mlb.com/schedule/,9/26/2013,9/26/2013,7:00 PM,11:30 PM
438,Giants Home Game,Baseball game,PkDemandUp,Internet,http://sanfrancisco.giants.mlb.com/schedule/,9/25/2013,9/25/2013,7:00 PM,11:30 PM
437,Giants Home Game,Baseball game,PkDemandUp,Internet,http://sanfrancisco.giants.mlb.com/schedule/,9/24/2013,9/24/2013,7:00 PM,11:30 PM
340,America's Cup,no street closures,PkDemandUp,,,9/21/2013,9/21/2013,1:00 PM,2:00 PM
596,Polk St. Blues Festival,Fair,StrClose,,,,9/22/2013,12:00 AM,12:00 AM
651,Superhero Street Fair,Street Fair,StrClose,,,,9/22/2013,8:00 AM,2:00 AM
496,Oracle Open World - Java One Conference,Large Conference,PkDemandUp,,,9/20/2013,9/27/2013,8:00 PM,10:00 AM
348,America's Cup,,PkDemandUp,,,9/19/2013,9/19/2013,1:00 PM,3:00 PM
489,Oracle Open World,Large Conference,PkDemandUp,,,,9/27/2013,8:00 PM,3:00 PM
347,America's Cup,,PkDemandUp,,,9/17/2013,9/17/2013,1:00 PM,3:00 PM
346,America's Cup,,PkDemandUp,,,9/15/2013,9/15/2013,1:00 PM,3:00 PM
551,Fall Urban Air Market,,StrClose,,,,9/15/2013,7:00 AM,7:00 PM
345,America's Cup,,PkDemandUp,,,9/14/2013,9/14/2013,1:00 PM,3:00 PM
521,Chinatown Moon Festival,Fair,StrClose,,,,9/15/2013,12:00 AM,8:00 PM
344,America's Cup,,PkDemandUp,,,9/12/2013,9/12/2013,1:00 PM,3:00 PM
366,Giants Home Game,Baseball game,PkDemandUp,Internet,http://sanfrancisco.giants.mlb.com/schedule/,9/11/2013,9/11/2013,12:30 PM,5:00 PM
343,America's Cup,,PkDemandUp,,,9/10/2013,9/10/2013,1:00 PM,3:00 PM
436,Giants Home Game,Baseball game,PkDemandUp,Internet,http://sanfrancisco.giants.mlb.com/schedule/,,9/10/2013,7:00 PM,11:30 PM
435,Giants Home Game,Baseball game,PkDemandUp,Internet,http://sanfrancisco.giants.mlb.com/schedule/,9/9/2013,9/9/2013,7:00 PM,11:30 PM
342,America's Cup,no street closures,PkDemandUp,,,9/8/2013,9/8/2013,1:00 PM,3:00 PM
383,Giants Home Game,Baseball game,PkDemandUp,Internet,http://sanfrancisco.giants.mlb.com/schedule/,,9/8/2013,1:00 PM,5:30 PM
643,Sunday Streets - Western Addition,Sunday Streets,StrClose,,,,9/8/2013,10:30 AM,4:30 PM
341,America's Cup,no street closures,PkDemandUp,,,9/7/2013,9/7/2013,1:00 PM,3:00 PM
396,Giants Home Game,Baseball game,PkDemandUp,Internet,http://sanfrancisco.giants.mlb.com/schedule/,,9/7/2013,6:00 PM,10:30 PM
434,Giants Home Game,Baseball game,PkDemandUp,Internet,http://sanfrancisco.giants.mlb.com/schedule/,9/6/2013,9/6/2013,7:00 PM,11:30 PM
433,Giants Home Game,Baseball game,PkDemandUp,Internet,http://sanfrancisco.giants.mlb.com/schedule/,9/5/2013,9/5/2013,7:00 PM,11:30 PM
574,JP Morgan Chase Corporate Challenge,,StrClose,,,9/3/2013,9/3/2013,6:30 PM,8:00 PM
505,Bay Bridge Celebration - Bicycle Ride,Athletic,StrClose,,,9/1/2013,9/1/2013,10:00 PM,10:00 PM
506,Bay Bridge Celebration - Half Marathon & 12 K,Athletic,StrClose,,,,9/2/2013,8:00 PM,12:00 PM
454,Louis Vuitton Cup Finals,no street closures,PkDemandUp,,,8/30/2013,8/30/2013,1:00 PM,3:00 PM
325,Bay Bridge Closure,,BrdgeClose,,,8/28/2013,9/3/2013,8:00 PM,5:00 AM
460,Louis Vuitton Cup Finals,no street closures,PkDemandUp,,,,8/28/2013,1:00 PM,3:30 PM
382,Giants Home Game,Baseball game,PkDemandUp,Internet,http://sanfrancisco.giants.mlb.com/schedule/,8/25/2013,8/25/2013,1:00 PM,5:30 PM
459,Louis Vuitton Cup Finals,no street closures,PkDemandUp,,,,8/25/2013,1:00 PM,3:30 PM
395,Giants Home Game,Baseball game,PkDemandUp,Internet,http://sanfrancisco.giants.mlb.com/schedule/,8/24/2013,8/24/2013,6:00 PM,10:30 PM
458,Louis Vuitton Cup Finals,no street closures,PkDemandUp,,,,8/24/2013,1:00 PM,3:30 PM
432,Giants Home Game,Baseball game,PkDemandUp,Internet,http://sanfrancisco.giants.mlb.com/schedule/,8/23/2013,8/23/2013,7:00 PM,11:30 PM
